dataset,fraction,fraction_numeric,outer,D_max_abs_error,E_max_abs_error,C_max_abs_error,D_allclose,E_allclose,C_allclose,mask_equal,reference_hash_old,reference_hash_v2,status
3W,f100,1.0,31001,0.0,0.0,0.0,True,True,True,True,59c7c3a1a79202a6deb3ba8f8e705b8ac66f4cb9d2eb4e7ef36d45a03c24195c,59c7c3a1a79202a6deb3ba8f8e705b8ac66f4cb9d2eb4e7ef36d45a03c24195c,PASS
3W,f100,1.0,31002,0.0,0.0,0.0,True,True,True,True,ad02e095dc859a6e50679a5c4ad06592d1f29bf215e4221e20013bf28ae5ebba,ad02e095dc859a6e50679a5c4ad06592d1f29bf215e4221e20013bf28ae5ebba,PASS
3W,f100,1.0,31003,0.0,0.0,0.0,True,True,True,True,f0b450b5d34af61d6222af7052388d5a07492d758e29326cba3d98d5f9b3e0f7,f0b450b5d34af61d6222af7052388d5a07492d758e29326cba3d98d5f9b3e0f7,PASS
3W,f025,0.25,31001,0.0,0.0,0.0,True,True,True,True,e23cd809baab1c25352ed8c090a0bf9e5b1dcc4801718020edf04e96de6b1c18,e23cd809baab1c25352ed8c090a0bf9e5b1dcc4801718020edf04e96de6b1c18,PASS
3W,f025,0.25,31002,0.0,0.0,0.0,True,True,True,True,cf037a8b5937c127833ef12dee249d06a8c73c58bd3aa9d8b7090dc4e605f17c,cf037a8b5937c127833ef12dee249d06a8c73c58bd3aa9d8b7090dc4e605f17c,PASS
3W,f025,0.25,31003,0.0,0.0,0.0,True,True,True,True,4f965112764974c777294d9d9951f0687fc5ea43729ed88115286c9b5effb8c5,4f965112764974c777294d9d9951f0687fc5ea43729ed88115286c9b5effb8c5,PASS
3W,f010,0.1,31001,0.0,0.0,0.0,True,True,True,True,b9dee5aebc335db371b77cf2d0437f3ac485957b921ae76c57f68bc26f804ac6,b9dee5aebc335db371b77cf2d0437f3ac485957b921ae76c57f68bc26f804ac6,PASS
3W,f010,0.1,31002,0.0,0.0,0.0,True,True,True,True,1feaed693d4f2ccb4a37a2e1bf6742dd418a38134e4a1d6bf976652ccd0e78c5,1feaed693d4f2ccb4a37a2e1bf6742dd418a38134e4a1d6bf976652ccd0e78c5,PASS
3W,f010,0.1,31003,0.0,0.0,0.0,True,True,True,True,c3ae4a19a7ac0e52e4151427e3ff66be7ae3d32ef5af961020d8804e6a07adf9,c3ae4a19a7ac0e52e4151427e3ff66be7ae3d32ef5af961020d8804e6a07adf9,PASS
TEP,f100,1.0,32001,0.0,0.0,0.0,True,True,True,True,b8641c7433856aae2cced332aa4246488386800e6f2e7da2f182226113d95967,b8641c7433856aae2cced332aa4246488386800e6f2e7da2f182226113d95967,PASS
TEP,f100,1.0,32002,0.0,0.0,0.0,True,True,True,True,d8e8ce2455da6a8420db1bab212488a61f0bd4b61822883e4593e2d2c3c2cc37,d8e8ce2455da6a8420db1bab212488a61f0bd4b61822883e4593e2d2c3c2cc37,PASS
TEP,f100,1.0,32003,0.0,0.0,0.0,True,True,True,True,2c1f298c167d52bd53e652c83bff772e249b909156c6fc444fc7b587f2943b8f,2c1f298c167d52bd53e652c83bff772e249b909156c6fc444fc7b587f2943b8f,PASS
TEP,f025,0.25,32001,0.0,0.0,0.0,True,True,True,True,0ddc07395678041db44840cedde381e93442da4e24d8f31eea592318f2af7857,0ddc07395678041db44840cedde381e93442da4e24d8f31eea592318f2af7857,PASS
TEP,f025,0.25,32002,0.0,0.0,0.0,True,True,True,True,1d3d36ffbe53cca684e17f6c57e896d229ac00c5d8a8de1edec50c6c4e681a1f,1d3d36ffbe53cca684e17f6c57e896d229ac00c5d8a8de1edec50c6c4e681a1f,PASS
TEP,f025,0.25,32003,0.0,0.0,0.0,True,True,True,True,6d30940554ddfca23c17d6ec3a9b5f6fb822b5b571bae6a469f8594f21c208f8,6d30940554ddfca23c17d6ec3a9b5f6fb822b5b571bae6a469f8594f21c208f8,PASS
